RowDate,RowTime,TotalLoad
04/01/2023,15:30,10448.17
04/01/2023,15:45,10451.04
04/01/2023,16:00,10547.23
04/01/2023,16:15,10458.49
04/01/2023,16:30,10495.02
04/01/2023,16:45,10691.40
04/01/2023,17:00,10785.73
04/01/2023,17:15,10897.19
04/01/2023,17:30,10946.98
04/01/2023,17:45,10924.48
04/01/2023,18:00,10987.56
04/01/2023,18:15,10948.92
04/01/2023,18:30,10861.51
04/01/2023,18:45,10820.60
04/01/2023,19:00,10631.74
04/01/2023,19:15,10454.48
04/01/2023,19:30,10423.98
04/01/2023,19:45,10367.89
04/01/2023,20:00,10162.75
04/01/2023,20:15,9977.18
04/01/2023,20:30,9872.92
04/01/2023,20:45,9753.62
04/01/2023,21:00,9478.75
04/01/2023,21:15,9466.10
04/01/2023,21:30,9390.69
04/01/2023,21:45,9315.63
04/01/2023,22:00,9311.85
04/01/2023,22:15,9344.00
04/01/2023,22:30,9333.45
04/01/2023,22:45,9337.65
04/01/2023,23:00,9339.73
04/01/2023,23:15,9345.70
04/01/2023,23:30,9225.45
04/01/2023,23:45,9048.26
04/01/2023,02:00*,
04/01/2023,02:15*,
04/01/2023,02:30*,
04/01/2023,02:45*,
05/01/2023,00:00,8697.01
05/01/2023,00:15,8606.30
05/01/2023,00:30,8502.87
05/01/2023,00:45,8389.44
05/01/2023,01:00,8301.37
05/01/2023,01:15,8113.99
05/01/2023,01:30,8081.86
05/01/2023,01:45,7932.47
05/01/2023,02:00,7811.00
05/01/2023,02:15,7795.80
05/01/2023,02:30,7814.10
05/01/2023,02:45,7659.45
05/01/2023,03:00,7639.80
05/01/2023,03:15,7616.12
05/01/2023,03:30,7570.95
05/01/2023,03:45,7624.65
05/01/2023,04:00,7594.84
05/01/2023,04:15,7636.05
05/01/2023,04:30,7683.47
05/01/2023,04:45,7757.20
05/01/2023,05:00,7999.61
05/01/2023,05:15,8140.65
05/01/2023,05:30,8146.20
05/01/2023,05:45,8294.12
05/01/2023,06:00,8616.42
05/01/2023,06:15,8970.33
05/01/2023,06:30,9283.06
05/01/2023,06:45,9304.11
05/01/2023,07:00,9384.10
05/01/2023,07:15,9478.71
05/01/2023,07:30,9625.01
05/01/2023,07:45,9801.13
05/01/2023,08:00,10107.50
05/01/2023,08:15,10216.33
05/01/2023,08:30,10268.44
05/01/2023,08:45,10279.83
05/01/2023,09:00,10367.84
05/01/2023,09:15,10438.66
05/01/2023,09:30,10505.24
05/01/2023,09:45,10474.71
05/01/2023,10:00,10463.02
05/01/2023,10:15,10548.77
05/01/2023,10:30,10442.68
05/01/2023,10:45,10387.54
05/01/2023,11:00,10413.21
05/01/2023,11:15,10391.06
05/01/2023,11:30,10598.90
05/01/2023,11:45,10637.79
05/01/2023,12:00,10682.16
05/01/2023,12:15,10672.53
05/01/2023,12:30,10573.35
05/01/2023,12:45,10466.72
05/01/2023,13:00,10553.97
05/01/2023,13:15,10465.63
05/01/2023,13:30,10595.65
05/01/2023,13:45,10464.52
05/01/2023,14:00,10426.35
05/01/2023,14:15,10397.34
05/01/2023,14:30,10297.26
05/01/2023,14:45,10316.37
05/01/2023,15:00,10567.41
05/01/2023,15:15,10480.16
