RowDate,RowTime,TotalLoadForecast
06/01/2023,17:30,10774.37
06/01/2023,17:45,10820.67
06/01/2023,18:00,10779.96
06/01/2023,18:15,10709.56
06/01/2023,18:30,10633.26
06/01/2023,18:45,10583.26
06/01/2023,19:00,10438.20
06/01/2023,19:15,10301.50
06/01/2023,19:30,10204.79
06/01/2023,19:45,10114.11
06/01/2023,20:00,10229.05
06/01/2023,20:15,10061.79
06/01/2023,20:30,9935.63
06/01/2023,20:45,9857.28
06/01/2023,21:00,10348.14
06/01/2023,21:15,10221.71
06/01/2023,21:30,10139.05
06/01/2023,21:45,10031.78
06/01/2023,22:00,9703.93
06/01/2023,22:15,9761.51
06/01/2023,22:30,9760.49
06/01/2023,22:45,9714.17
06/01/2023,23:00,9762.70
06/01/2023,23:15,9636.70
06/01/2023,23:30,9494.32
06/01/2023,23:45,9375.10
06/01/2023,02:00*,
06/01/2023,02:15*,
06/01/2023,02:30*,
06/01/2023,02:45*,
07/01/2023,00:00,8735.64
07/01/2023,00:15,8581.15
07/01/2023,00:30,8471.11
07/01/2023,00:45,8364.20
07/01/2023,01:00,8074.79
07/01/2023,01:15,7941.04
07/01/2023,01:30,7856.84
07/01/2023,01:45,7824.35
07/01/2023,02:00,7715.42
07/01/2023,02:15,7716.01
07/01/2023,02:30,7668.25
07/01/2023,02:45,7590.41
07/01/2023,03:00,7744.12
07/01/2023,03:15,7702.58
07/01/2023,03:30,7661.81
07/01/2023,03:45,7551.61
07/01/2023,04:00,7745.36
07/01/2023,04:15,7721.73
07/01/2023,04:30,7674.60
07/01/2023,04:45,7684.52
07/01/2023,05:00,7785.97
07/01/2023,05:15,7831.10
07/01/2023,05:30,7813.68
07/01/2023,05:45,7859.53
07/01/2023,06:00,7756.33
07/01/2023,06:15,7799.53
07/01/2023,06:30,7918.70
07/01/2023,06:45,8005.53
07/01/2023,07:00,7889.67
07/01/2023,07:15,7973.72
07/01/2023,07:30,8072.01
07/01/2023,07:45,8183.85
07/01/2023,08:00,8493.62
07/01/2023,08:15,8591.55
07/01/2023,08:30,8698.61
07/01/2023,08:45,8758.81
07/01/2023,09:00,8907.96
07/01/2023,09:15,9022.09
07/01/2023,09:30,9124.19
07/01/2023,09:45,9237.21
07/01/2023,10:00,9589.34
07/01/2023,10:15,9624.71
07/01/2023,10:30,9646.49
07/01/2023,10:45,9698.03
07/01/2023,11:00,9738.66
07/01/2023,11:15,9802.25
07/01/2023,11:30,9834.33
07/01/2023,11:45,9879.37
07/01/2023,12:00,9483.76
07/01/2023,12:15,9447.76
07/01/2023,12:30,9458.56
07/01/2023,12:45,9432.15
07/01/2023,13:00,9282.89
07/01/2023,13:15,9293.03
07/01/2023,13:30,9240.62
07/01/2023,13:45,9170.30
07/01/2023,14:00,9102.71
07/01/2023,14:15,9054.87
07/01/2023,14:30,9026.63
07/01/2023,14:45,9022.85
07/01/2023,15:00,9196.82
07/01/2023,15:15,9182.00
07/01/2023,15:30,9202.11
07/01/2023,15:45,9244.46
07/01/2023,16:00,9369.76
07/01/2023,16:15,9414.00
07/01/2023,16:30,9479.74
07/01/2023,16:45,9660.99
07/01/2023,17:00,9870.34
07/01/2023,17:15,9911.62
07/01/2023,17:30,9920.89
07/01/2023,17:45,9903.60
07/01/2023,18:00,9956.87
07/01/2023,18:15,9887.66
07/01/2023,18:30,9856.41
07/01/2023,18:45,9822.25
07/01/2023,19:00,9815.93
07/01/2023,19:15,9657.39
07/01/2023,19:30,9604.40
07/01/2023,19:45,9528.13
07/01/2023,20:00,9268.83
07/01/2023,20:15,9140.98
07/01/2023,20:30,9105.86
07/01/2023,20:45,9031.05
07/01/2023,21:00,8762.30
07/01/2023,21:15,8680.18
07/01/2023,21:30,8621.28
07/01/2023,21:45,8626.89
07/01/2023,22:00,8483.39
07/01/2023,22:15,8498.74
07/01/2023,22:30,8452.54
07/01/2023,22:45,8445.70
07/01/2023,23:00,8769.42
07/01/2023,23:15,8619.66
07/01/2023,23:30,8537.95
07/01/2023,23:45,8462.82
07/01/2023,02:00*,
07/01/2023,02:15*,
07/01/2023,02:30*,
07/01/2023,02:45*,
08/01/2023,00:00,8160.13
08/01/2023,00:15,8013.93
08/01/2023,00:30,7926.44
08/01/2023,00:45,7808.34
08/01/2023,01:00,8206.16
08/01/2023,01:15,8100.94
08/01/2023,01:30,7984.36
08/01/2023,01:45,7906.07
08/01/2023,02:00,7602.10
08/01/2023,02:15,7518.43
08/01/2023,02:30,7477.59
08/01/2023,02:45,7455.06
08/01/2023,03:00,7511.03
08/01/2023,03:15,7417.47
08/01/2023,03:30,7399.24
08/01/2023,03:45,7396.16
08/01/2023,04:00,7561.41
08/01/2023,04:15,7566.21
08/01/2023,04:30,7576.44
08/01/2023,04:45,7581.73
08/01/2023,05:00,7743.66
08/01/2023,05:15,7711.07
08/01/2023,05:30,7705.87
08/01/2023,05:45,7749.59
